2
7
3144
20

4
0,0,4
0,5,43.1231,54.2221

4,1,1,3
0,2.23607,46.2801,60.2801

4,2,2,2
0,1.41421,62.0499,72.1326

0,3,3,2
0,2.23607,44.3961,49.8682

2,4,4,3
0,2.23607,37.0711,44.0711

4,5,5,2
0,2,51.4018,56.5008

4,6,6,0
0,7.07107,57.4403,67.6026

4,7,7,2
0,2.82843,57.6491,67.6491

0,8,8,2
0,8,54,60.2361

4,9,9,2
0,5,42,48.1623

3,10,10,16,16,24,24,2
0,4.12311,12,20.2361,23.4721,26.4721,51.0828,62.2059

0,11,11,3
0,9.05539,55.7648,64.8638

1,12,12,15,15,2
0,1,36.8661,45.8661,56.0283,65.3529

2,13,13,0
0,1,43.4536,49.4536

3,14,14,0
0,1,40.3178,49.4801

4,17,17,22,22,0
0,2.23607,17.4341,30.1423,46.6023,51.8384

0,18,18,4
0,3,62.6023,71.7013

2
19,19,23,23,2
0,4.47214,27.7037,40.7659,53,63.1623

4
20,20,4
0,3.60555,19,29.544

0,21,21,4
0,5.65685,23,27

